date,equity,cumulative_return,daily_return,close_price,signal_action,execution_date,shares,target_pct,entry_type,market_regime,selected_skill,regime_confidence,regime_evidence,skill_router_mode,reflection_market_regime,reflection_selected_skill,reflection_confidence,reflection_evidence,limit_price,cancel_pending_orders,pending_orders_count,pending_order_limits,filled_today_count,last_fill_offset_days
2025-01-02,100000.0,0.0,0.0,138.309998,BUY,2025-01-03,0.0,0.2,LIMIT,range_bound,range_bound_skill,0.7,"[""价格在130-140美元区间形成震荡平台，未出现有效突破"", ""技术指标显示中性偏弱，MACD柱状图转正但整体趋势偏弱"", ""OBV持续为负显示资金流出压力，但部分动量指标显示企稳迹象""]",reflect,range_bound,range_bound_skill,0.7,"[""价格在130-140美元区间形成震荡平台，未出现有效突破"", ""技术指标显示中性偏弱，MACD柱状图转正但整体趋势偏弱"", ""OBV持续为负显示资金流出压力，但部分动量指标显示企稳迹象""]",132.0,True,1,[132.0],0,
2025-01-03,100000.0,0.0,0.0,144.470001,BUY,2025-01-06,0.0,0.2,MKT_OPEN,range_bound,range_bound_skill,0.75,"[""价格在布林带中轨附近震荡，显示市场处于相对平衡状态"", ""技术指标显示短期调整接近尾声，但中期趋势仍待确认"", ""价格在127-140美元区间内波动，未出现有效突破""]",reflect,range_bound,range_bound_skill,0.75,"[""价格在布林带中轨附近震荡，显示市场处于相对平衡状态"", ""技术指标显示短期调整接近尾声，但中期趋势仍待确认"", ""价格在127-140美元区间内波动，未出现有效突破""]",,True,1,[132.0],0,
2025-01-06,100000.0,0.0,0.0,149.429993,BUY,2025-01-07,267.0,0.4,MKT_OPEN,strong_uptrend,strong_uptrend_skill,0.75,"[""技术指标全面转强：MACD金叉、RSI回升至中性偏强区域、股价突破多条均线形成多头排列"", ""成交量放大配合价格上涨，显示上涨有量能支撑"", ""AI芯片需求持续强劲：Blackwell架构获得主要云服务商预订单，全球AI基础设施建设处于早期阶段""]",reflect,strong_uptrend,strong_uptrend_skill,0.8,"[""技术指标全面转强：MACD金叉、RSI回升至中性偏强区域、股价突破多条均线形成多头排列"", ""成交量放大配合价格上涨，显示上涨有量能支撑"", ""AI芯片需求持续强劲：Blackwell架构获得主要云服务商预订单，全球AI基础设施建设处于早期阶段""]",,True,0,[],1,0
2025-01-07,100000.0,0.0,0.0,140.139999,BUY,2025-01-08,267.0,0.5,MKT_OPEN,strong_uptrend,strong_uptrend_skill,0.85,"[""价格突破布林带上轨并创新高，均线呈多头排列"", ""MACD金叉且柱状图大幅上升，DI+显著高于DI-"", ""Blackwell平台获得主要云服务商订单，基本面支撑强劲""]",reflect,strong_uptrend,strong_uptrend_skill,0.85,"[""价格突破布林带上轨并创新高，均线呈多头排列"", ""MACD金叉且柱状图大幅上升，DI+显著高于DI-"", ""Blackwell平台获得主要云服务商订单，基本面支撑强劲""]",,True,0,[],1,0
2025-01-08,97519.571602,-0.024804283980000008,-0.024804283980000008,140.110001,HOLD,2025-01-10,347.0,0.0,MKT_OPEN,high_vol_uncertain,high_vol_uncertain_skill,0.75,"[""ATR值显著上升至6.06，显示市场波动性大幅增加"", ""1月7日股价从153.08美元大幅回落至140.09美元，形成明显技术性回调"", ""面临欧盟反垄断调查和美国对华出口限制等监管风险"", ""OBV指标显示资金流出压力增加""]",reflect,high_vol_uncertain,high_vol_uncertain_skill,0.75,"[""ATR值显著上升至6.06，显示市场波动性大幅增加"", ""1月7日股价从153.08美元大幅回落至140.09美元，形成明显技术性回调"", ""面临欧盟反垄断调查和美国对华出口限制等监管风险"", ""OBV指标显示资金流出压力增加""]",,,0,[],1,0
2025-01-10,97519.571602,-0.024804283980000008,0.0,135.910004,HOLD,2025-01-13,,0.0,MKT_OPEN,strong_uptrend,strong_uptrend_skill,0.75,"[""技术指标全面向好：MACD金叉、EMA多头排列、RSI中性偏强显示上升趋势健康"", ""AI芯片需求基本面强劲：微软、谷歌等科技巨头持续扩大AI基础设施投资"", ""股价在布林带中上部运行，表明相对强势"", ""+DI显著高于-DI，表明上升趋势力量强于下降趋势力量""]",reflect,strong_uptrend,strong_uptrend_skill,0.8,"[""技术指标全面向好：MACD金叉、EMA多头排列、RSI中性偏强显示上升趋势健康"", ""AI芯片需求基本面强劲：微软、谷歌等科技巨头持续扩大AI基础设施投资"", ""股价在布林带中上部运行，表明相对强势"", ""+DI显著高于-DI，表明上升趋势力量强于下降趋势力量""]",,,0,[],0,2
2025-01-13,95121.800561,-0.04878199439000008,-0.024587587923231013,133.229996,HOLD,2025-01-14,347.0,0.0,MKT_OPEN,downtrend,downtrend_skill,0.8,"[""股价从1月6日高点152.11美元大幅回调至135.87美元，跌幅超过10%"", ""股价已跌破所有短期移动平均线（MA5、MA10、MA20）"", ""OBV持续为负值显示资金流出压力"", ""MACD柱状图收缩显示上涨动能减弱"", ""下跌日交易量较大，显示抛压较重""]",reflect,downtrend,downtrend_skill,0.8,"[""股价从1月6日高点152.11美元大幅回调至135.87美元，跌幅超过10%"", ""股价已跌破所有短期移动平均线（MA5、MA10、MA20）"", ""OBV持续为负值显示资金流出压力"", ""MACD柱状图收缩显示上涨动能减弱"", ""下跌日交易量较大，显示抛压较重""]",,,0,[],0,5
2025-01-14,95121.800561,-0.04878199439000008,0.0,131.759995,HOLD,2025-01-15,347.0,0.0,MKT_OPEN,downtrend,downtrend_skill,0.8,"[""股价已跌破所有短期移动平均线（MA5、MA10、MA20），显示短期趋势转弱"", ""MACD柱状图转为负值，形成死叉信号，暗示可能进一步下跌"", ""OBV持续为负值显示资金流出压力，与价格下跌趋势一致""]",reflect,downtrend,downtrend_skill,0.8,"[""股价已跌破所有短期移动平均线（MA5、MA10、MA20），显示短期趋势转弱"", ""MACD柱状图转为负值，形成死叉信号，暗示可能进一步下跌"", ""OBV持续为负值显示资金流出压力，与价格下跌趋势一致"", ""ADX值低于20显示趋势强度较弱，DI-高于DI+暗示下降趋势占主导"", ""价格从近期高点149.38美元回落至133.19美元，接近布林带下轨""]",,,0,[],0,6
2025-01-15,94611.710214,-0.05388289785999989,-0.005362496756701751,136.240005,HOLD,2025-01-16,347.0,0.0,MKT_OPEN,downtrend,downtrend_skill,0.8,"[""股价从1月6日高点149.38美元大幅回调至1月14日131.72美元，跌幅达11.8%"", ""MACD形成死叉，股价跌破所有短期移动平均线（MA5/MA10/MA20）"", ""OBV持续为负值显示资金流出压力，下跌过程中成交量放大"", ""RSI从超买区域回落至接近超卖区域，但尚未形成明确的底部信号"", ""市场对高估值科技股的谨慎情绪和AI成本下降趋势带来调整压力""]",reflect,downtrend,downtrend_skill,0.8,"[""股价从1月6日高点149.38美元大幅回调至1月14日131.72美元，跌幅达11.8%"", ""MACD形成死叉，股价跌破所有短期移动平均线（MA5/MA10/MA20）"", ""OBV持续为负值显示资金流出压力，下跌过程中成交量放大"", ""RSI从超买区域回落至接近超卖区域，但尚未形成明确的底部信号"", ""市场对高估值科技股的谨慎情绪和AI成本下降趋势带来调整压力""]",,,0,[],0,7
2025-01-16,96166.273684,-0.03833726315999997,0.016430983717383052,133.570007,HOLD,2025-01-17,347.0,0.0,MKT_OPEN,range_bound,range_bound_skill,0.7,"[""股价在126.82-153.08美元区间内波动，接近布林带中轨136.70美元"", ""技术指标呈现分化信号：趋势指标偏弱但动量指标中性，显示缺乏明确方向"", ""成交量模式显示价格下跌时放量而上涨时缩量，符合区间震荡特征"", ""关键支撑位135.41美元（MA5）和阻力位138.34美元（MA10）形成短期交易区间""]",reflect,range_bound,range_bound_skill,0.7,"[""股价在126.82-153.08美元区间内波动，接近布林带中轨136.70美元"", ""技术指标呈现分化信号：趋势指标偏弱但动量指标中性，显示缺乏明确方向"", ""成交量模式显示价格下跌时放量而上涨时缩量，符合区间震荡特征"", ""关键支撑位135.41美元（MA5）和阻力位138.34美元（MA10）形成短期交易区间""]",,,0,[],0,8
